GroupID,BeadColor,Distance_in,Transect_m
1,Clear,18,37
1,Clear,29,37
1,Clear,9,37
1,Clear,7,37
1,Clear,1,37
1,Clear,6,37
1,Clear,24,37
1,Clear,30,37
1,Clear,72,37
1,Clear,52,37
1,Clear,13,37
1,Clear,40,37
1,Clear,30,37
1,Clear,33,37
1,Clear,55,37
1,Clear,34,37
1,Green,8,37
1,Green,36,37
1,Green,13,37
1,Green,71,37
1,Green,40,37
1,Green,16,37
1,Green,5,37
1,Green,21,37
1,Green,8,37
1,Green,2,37
1,Green,37,37
1,Green,7,37
1,Green,21,37
1,Green,36,37
1,Green,17,37
1,Green,2,37
1,Green,14,37
1,Green,20,37
2,Green,31,37
2,Green,50,37
2,Green,23,37
2,Green,20,37
2,Green,65,37
2,Green,73,37
2,Green,25,37
2,Green,4,37
2,Green,37,37
2,Green,42,37
2,Green,35,37
2,Green,49,37
2,Green,39,37
2,Green,31,37
2,Green,32,37
2,Green,33,37
2,Green,64,37
2,Green,26,37
2,Green,37,37
2,Green,46,37
2,Green,5,37
2,Green,27,37
2,Green,61,37
2,Green,40,37
2,Green,19,37
2,Green,25,37
2,Green,59,37
2,Green,29,37
2,Green,31,37
2,Green,59,37
2,Green,76,37
2,Green,36,37
2,Green,2,37
2,Green,27,37
2,Green,5,37
2,Green,66,37
2,Green,9,37
2,Clear,42,37
2,Clear,52,37
2,Clear,35,37
2,Clear,5,37
2,Clear,60,37
2,Clear,35,37
2,Clear,63,37
2,Clear,50,37
2,Clear,78,37
2,Clear,16,37
2,Clear,28,37
2,Clear,34,37
2,Clear,36,37
2,Clear,26,37
2,Clear,50,37
2,Clear,40,37
2,Clear,67,37
2,Clear,24,37
2,Clear,9,37
2,Clear,21,37
2,Clear,54,37
2,Clear,32,37
2,Clear,46,37
2,Clear,29,37
3,Green,8,37
3,Green,80.5,37
3,Green,13.5,37
3,Green,64,37
3,Green,27.5,37
3,Green,86,37
3,Green,88.5,37
3,Green,41.5,37
3,Green,15.5,37
3,Green,75,37
3,Green,24.5,37
3,Green,55,37
3,Green,72,37
3,Green,17,37
3,Green,24.5,37
3,Green,55,37
3,Green,72,37
3,Green,17,37
3,Green,24.5,37
3,Green,6.5,37
3,Green,49,37
3,Green,10,37
3,Green,25,37
3,Green,18,37
3,Green,17,37
3,Green,2,37
3,Green,36,37
3,Green,117,37
3,Green,20,37
3,Clear,18.5,37
3,Clear,25.5,37
3,Clear,30,37
3,Clear,25,37
3,Clear,8.5,37
3,Clear,6.5,37
3,Clear,0.5,37
3,Clear,71,37
3,Clear,60.5,37
3,Clear,13,37
3,Clear,38.5,37
3,Clear,29,37
3,Clear,33.5,37
3,Clear,4.5,37
3,Clear,40.5,37
