group_id,paddle_id,length_in,width_in,depth_in,spines,insects,damage,location
1,5,1,1,0.5,N,N,Most,Sixth
1,4,2,1,0.3,N,N,None,Eigth
3,7,2,1,0.125,Y,N,None,Sixth
2,9,2,3,0.5,N,N,All,Seventh
7,9,2.5,2.5,0.5,Y,Y,None,Fifth
3,8,3.5,2.5,0.25,N,Y,All,Third
7,4,4,3.75,0.5,Y,Y,Some,Sixth
7,5,4,3.8,0.25,Y,Y,None,Fifth
7,8,4,3.8,0.5,Y,Y,Some,Fifth
7,10,4,3.5,0.25,Y,Y,Most,First
7,2,4.25,3.5,0.25,Y,Y,None,Seventh
8,6,4.5,5,0.5,Y,N,Some,Third
7,1,4.5,4.5,0.25,Y,Y,Some,Seventh
8,2,4.6,4,0.5,Y,N,None,Second
1,3,5,1.5,0.5,N,N,None,Fourth
7,6,5,4,0.25,Y,Y,None,Third
7,7,5,4.5,0.5,Y,Y,Some,Sixth
1,1,5.5,2.5,0.5,N,N,None,Eigth
11,9,5.5,3,0.5,Y,Y,Some,Ninth
8,7,6,4.5,0.3,Y,Y,None,Third
2,8,6,3,0.75,N,N,Some,Second
8,5,6.5,5,0.3,Y,N,None,Fourth
1,10,7,4,0.5,N,N,None,Fifth
3,10,7,5.5,1,N,Y,All,First
6,7,7,3,0.375,N,N,None,Sixth
9,8,7,4.5,0.75,Y,Y,Most,Third
2,10,7.25,4.25,0.5,N,N,None,Second
8,1,7.5,5,0.45,Y,Y,Some,Third
8,3,7.5,6,0.3,Y,Y,Most,Third
4,7,7.5,5,0.5,N,N,Most,Third
7,3,7.5,5,0.75,Y,Y,Some,Fourth
3,5,7.5,3.5,0.5,N,Y,None,Fifth
3,9,7.5,3.25,0.25,N,Y,None,Seventh
8,8,7.6,5,0.4,Y,Y,Some,Third
5,7,8,3.5,0.25,N,N,None,Eigth
5,8,8,3.5,0.5,N,N,None,Fifth
5,9,8,6,0.75,N,N,Some,Fourth
1,2,8,3,0.5,N,N,Most,Fifth
4,4,8,4,0.125,N,N,Some,Seventh
3,3,8,3.5,0.25,N,Y,Some,Third
2,1,8,3.75,0.5,N,N,Some,Seventh
2,4,8,5,0.5,N,N,Some,Fifth
2,6,8,3.3,0.375,N,N,Most,Sixth
10,7,8.25,5.5,0.5,Y,N,None,Fifth
8,4,8.5,5,0.5,Y,N,None,Third
4,2,8.5,4,0.125,N,N,Some,Fifth
3,4,8.5,5.75,0.125,N,Y,None,Third
6,6,8.5,4.5,0.5,N,N,Some,Sixth
11,10,8.5,10.5,1,Y,Y,Most,First
5,2,9,4.25,0.25,N,N,Some,Seventh
1,7,9,3.73,0.5,N,N,None,Sixth
4,6,9,8,1.5,N,N,Most,Fifth
3,1,9,4,0.25,N,Y,Some,Fourth
3,2,9,7,0.5,N,Y,Most,Second
2,3,9,6.5,0.5,N,N,Some,Fifth
10,9,9,6.5,0.5,Y,N,All,Fourth
11,8,9,7,0.5,Y,Y,None,Tenth
5,6,9.5,6,0.25,N,N,None,Sixth
4,10,9.5,6,0.25,N,N,Some,Third
6,9,9.5,4,0.375,N,N,None,Sixth
9,4,9.5,6.5,0.75,Y,Y,Most,Third
9,5,9.5,8,1.5,Y,Y,Most,First
9,6,9.5,11,1.5,Y,Y,Most,First
2,2,9.5,5.5,0.5,N,N,Some,Sixth
2,7,9.5,5,1,N,N,Some,Third
5,5,10,5.5,0.25,N,N,Most,Fourth
1,6,10,5.5,1,N,N,Some,Second
1,8,10,3.5,0.5,N,N,None,Fourth
4,5,10,7,0.25,N,N,Most,Third
4,8,10,5,0.125,N,N,Some,Sixth
9,9,10,7.5,1.25,Y,N,None,Third
5,3,10.5,5.5,0.5,N,N,Some,Fourth
3,6,10.5,6.5,0.25,N,N,None,Fourth
6,4,10.5,7,1,N,N,None,Fourth
6,10,10.5,7.75,0.75,N,N,Some,Second
10,6,10.5,7.25,0.3,Y,N,All,Second
11,4,10.5,7.5,0.3,Y,Y,Most,Fourth
5,4,11,7,0.5,N,N,None,Fifth
1,9,11,4,0.5,N,N,None,Seventh
4,1,11,7,0.25,N,N,Some,Eigth
4,3,11,8.5,0.5,N,N,Some,Ninth
6,2,11,7,0.5,N,N,Some,Fifth
6,5,11,7,0.5,N,N,None,Fifth
9,1,11,7,0.75,Y,Y,Some,Third
9,2,11,10.75,1.25,Y,N,Most,First
9,3,11,7.5,1,Y,Y,Some,Second
9,7,11.25,8.5,0.5,Y,N,None,Fourth
5,10,11.5,6,0.25,N,N,None,Third
4,9,11.5,7,0.25,N,N,Some,Sixth
6,1,11.5,7,0.375,N,N,None,Sixth
10,2,11.5,7.25,0.25,Y,N,None,Fifth
11,1,11.5,6,0.5,Y,Y,Some,Seventh
6,8,11.75,4.5,0.375,N,N,None,Fifth
9,10,12,8.5,1.25,Y,Y,Some,Third
2,5,12,6,0.5,N,N,Some,Sixth
11,2,12,7.5,0.3,Y,Y,Some,Eigth
10,3,12.5,8.75,0.5,Y,N,None,Second
5,1,12.75,6.5,0.25,N,N,None,Sixth
10,5,13,9.25,0.75,Y,N,Most,Third
10,8,13,8.5,0.5,Y,N,None,Fifth
11,7,13,8.5,0.5,Y,Y,Most,Second
6,3,13.5,5.75,0.375,N,N,None,Third
10,10,13.5,9,0.5,Y,N,None,Fifth
10,4,14,12.5,0.75,Y,N,Most,Fourth
11,5,14,9,0.5,Y,Y,Some,Fifth
11,6,14,9,0.1,Y,Y,Most,Third
10,1,14.5,11.25,0.5,Y,N,None,Fifth
11,3,14.5,9,0.5,Y,Y,Some,Sixth
